property_area,bedrooms,bathrooms,year_built,garage_size,lot_area,location,property_type,furnishing_status,price
1409.0,3.0,4.0,1987.0,0.0,3081.0,Tier1,Apartment,Semi-Furnished,111.25
1247.0,4.0,3.0,2017.0,2.0,2203.0,Tier3,,Semi-Furnished,39.31
870.0,3.0,3.0,1999.0,2.0,1865.0,Tier2,Independent House,Furnished,46.78
1202.0,1.0,1.0,1988.0,2.0,1888.0,Tier1,Apartment,Semi-Furnished,78.96
843.0,2.0,2.0,1999.0,1.0,2283.0,Metro,Independent House,Semi-Furnished,132.66
810.0,2.0,3.0,1991.0,0.0,2430.0,Metro,Apartment,Unfurnished,68.09
1032.0,2.0,3.0,1988.0,1.0,1837.0,Metro,Independent House,Furnished,147.42
1140.0,3.0,2.0,1987.0,0.0,3096.0,Tier3,Independent House,Semi-Furnished,55.18
,3.0,4.0,2007.0,2.0,3376.0,Tier2,Apartment,Unfurnished,61.8
1658.0,2.0,2.0,1998.0,0.0,4962.0,Tier2,Apartment,,70.36
951.0,1.0,1.0,1990.0,1.0,1728.0,Metro,Apartment,Unfurnished,100.61
1298.0,2.0,1.0,2017.0,0.0,3324.0,Tier3,Independent House,Unfurnished,60.49
1259.0,6.0,5.0,1993.0,0.0,2029.0,Tier2,Villa,Unfurnished,84.68
896.0,3.0,3.0,1996.0,3.0,2083.0,Metro,Villa,Semi-Furnished,145.47
1237.0,5.0,5.0,2019.0,3.0,3054.0,Metro,Apartment,Semi-Furnished,115.13
1701.0,4.0,,2015.0,1.0,4310.0,Metro,Apartment,Furnished,247.71
1293.0,3.0,4.0,1987.0,1.0,2034.0,Tier1,Apartment,Furnished,82.93
1313.0,4.0,5.0,2020.0,3.0,3581.0,Tier1,Apartment,Furnished,113.3
847.0,2.0,2.0,1997.0,,1658.0,Tier1,Villa,Furnished,116.1
2184.0,4.0,4.0,1997.0,2.0,3471.0,Metro,Independent House,Semi-Furnished,300.31
876.0,2.0,2.0,2018.0,1.0,1907.0,Tier2,Villa,Furnished,80.55
400.0,4.0,4.0,2005.0,0.0,1102.0,Metro,,Furnished,52.41
1630.0,1.0,1.0,2018.0,0.0,4793.0,Metro,Independent House,Unfurnished,239.22
1143.0,4.0,4.0,2012.0,2.0,2911.0,,Independent House,Furnished,131.04
1048.0,1.0,1.0,2019.0,2.0,1268.0,Tier1,Independent House,Unfurnished,101.23
927.0,5.0,5.0,1998.0,1.0,1337.0,Tier2,Villa,Furnished,88.71
,2.0,1.0,2002.0,1.0,2856.0,Metro,Apartment,Unfurnished,158.58
1377.0,4.0,3.0,2003.0,2.0,1903.0,Tier1,Apartment,Unfurnished,84.34
1475.0,3.0,3.0,2003.0,2.0,2787.0,Tier1,Independent House,Semi-Furnished,126.96
1281.0,3.0,2.0,2017.0,2.0,2318.0,Metro,Apartment,Semi-Furnished,130.97
1335.0,3.0,4.0,2019.0,2.0,1875.0,Tier2,Apartment,Furnished,73.14
1899.0,5.0,4.0,2004.0,1.0,5294.0,Metro,Villa,Unfurnished,277.82
1075.0,1.0,2.0,2013.0,1.0,2481.0,Metro,Villa,Unfurnished,210.19
472.0,5.0,5.0,1992.0,2.0,1243.0,,Villa,Unfurnished,15.87
1634.0,3.0,2.0,2009.0,2.0,,Tier3,Apartment,Semi-Furnished,48.2
1448.0,4.0,5.0,2001.0,0.0,2807.0,Tier2,Apartment,Semi-Furnished,72.94
1254.0,3.0,3.0,1985.0,0.0,2222.0,Tier1,Villa,Unfurnished,128.22
1435.0,3.0,3.0,2022.0,2.0,2854.0,Metro,,Semi-Furnished,203.74
1015.0,5.0,6.0,2014.0,1.0,2333.0,Tier2,Independent House,Semi-Furnished,94.5
1210.0,3.0,2.0,2012.0,1.0,2526.0,Tier1,Independent House,Furnished,106.29
,3.0,3.0,,2.0,3071.0,Metro,Independent House,Unfurnished,143.35
904.0,1.0,2.0,1997.0,2.0,2550.0,Tier1,Villa,Furnished,151.13
1795.0,2.0,3.0,2008.0,2.0,3672.0,Metro,Apartment,Furnished,220.64
494.0,3.0,3.0,2021.0,1.0,806.0,Tier3,Villa,Semi-Furnished,25.96
2380.0,4.0,3.0,2006.0,1.0,6905.0,Metro,Villa,Unfurnished,394.0
1639.0,3.0,4.0,1997.0,0.0,4135.0,Tier2,Villa,Semi-Furnished,124.4
400.0,2.0,2.0,2024.0,,941.0,Tier1,Apartment,Furnished,32.27
1088.0,3.0,2.0,1996.0,2.0,2765.0,Tier1,Villa,Furnished,174.33
1116.0,3.0,3.0,1991.0,1.0,1492.0,Tier1,Apartment,Unfurnished,60.69
1396.0,3.0,4.0,2020.0,0.0,1845.0,Metro,Villa,Unfurnished,207.81
705.0,5.0,4.0,2013.0,0.0,1040.0,Tier3,Apartment,Unfurnished,17.82
1216.0,4.0,5.0,2013.0,1.0,1782.0,Tier2,Independent House,Semi-Furnished,72.12
1139.0,1.0,1.0,2010.0,0.0,2229.0,Tier3,Apartment,Unfurnished,31.06
831.0,5.0,5.0,2011.0,2.0,1233.0,Tier3,Apartment,Semi-Furnished,22.08
762.0,3.0,4.0,2008.0,2.0,2086.0,Tier1,Apartment,Semi-Furnished,69.15
1659.0,4.0,5.0,2015.0,2.0,3717.0,Tier3,Villa,Semi-Furnished,81.14
400.0,2.0,2.0,,2.0,745.0,Metro,Apartment,Semi-Furnished,38.35
1439.0,4.0,3.0,2001.0,1.0,1907.0,Metro,Apartment,Unfurnished,107.8
1599.0,2.0,3.0,2017.0,3.0,3620.0,Metro,Villa,Semi-Furnished,325.36
1091.0,3.0,3.0,2018.0,0.0,1538.0,Tier1,Apartment,Semi-Furnished,91.48
1226.0,1.0,1.0,2002.0,0.0,3111.0,Tier1,Independent House,,135.37
1782.0,2.0,2.0,1989.0,1.0,4713.0,Metro,Independent House,Furnished,239.85
848.0,1.0,2.0,1985.0,1.0,1848.0,Tier2,Villa,Semi-Furnished,77.74
899.0,2.0,3.0,1991.0,0.0,1321.0,Tier1,Apartment,Furnished,89.41
952.0,2.0,3.0,2018.0,1.0,2491.0,Metro,Independent House,Furnished,175.38
1783.0,4.0,4.0,1987.0,1.0,3128.0,Tier1,Apartment,Semi-Furnished,128.84
1846.0,1.0,1.0,2020.0,2.0,2955.0,Metro,Apartment,Semi-Furnished,202.1
502.0,3.0,3.0,2019.0,1.0,1028.0,Tier2,Apartment,Unfurnished,22.51
1703.0,2.0,2.0,1996.0,1.0,4872.0,Metro,Independent House,Semi-Furnished,220.08
,5.0,5.0,1999.0,3.0,2792.0,Tier3,Apartment,Unfurnished,44.87
1977.0,5.0,5.0,1988.0,2.0,5595.0,Tier2,Villa,Unfurnished,181.17
1393.0,2.0,1.0,2017.0,1.0,1806.0,Metro,Independent House,Unfurnished,142.53
1178.0,3.0,3.0,2000.0,1.0,1591.0,Metro,Apartment,Semi-Furnished,84.24
1773.0,1.0,1.0,2013.0,2.0,4357.0,Tier2,Apartment,Semi-Furnished,123.63
1549.0,5.0,6.0,1990.0,1.0,2390.0,Tier2,Independent House,Unfurnished,81.45
2322.0,3.0,3.0,2021.0,0.0,,Tier2,Villa,Semi-Furnished,238.88
1679.0,1.0,1.0,2007.0,1.0,2427.0,Tier2,Villa,Furnished,140.79
1277.0,2.0,2.0,1997.0,2.0,2296.0,,Apartment,Semi-Furnished,128.99
613.0,1.0,2.0,1985.0,1.0,1045.0,Tier1,Apartment,Furnished,41.22
910.0,3.0,3.0,1996.0,0.0,2298.0,Metro,Apartment,Unfurnished,105.17
482.0,4.0,4.0,2011.0,1.0,1187.0,Tier3,Apartment,Semi-Furnished,19.49
1092.0,3.0,3.0,2009.0,2.0,3187.0,Tier2,Apartment,Semi-Furnished,60.12
1663.0,3.0,3.0,2006.0,2.0,4164.0,Tier1,Independent House,Semi-Furnished,129.84
1198.0,2.0,3.0,2018.0,2.0,2936.0,Metro,Apartment,Semi-Furnished,125.74
1711.0,2.0,1.0,2002.0,1.0,4191.0,Tier1,Apartment,Furnished,131.4
1369.0,2.0,2.0,2000.0,3.0,3819.0,Tier1,,Semi-Furnished,160.16
998.0,4.0,4.0,2013.0,1.0,1730.0,Tier2,Independent House,Unfurnished,49.59
1244.0,2.0,1.0,2014.0,1.0,2165.0,Tier2,Apartment,Semi-Furnished,58.33
1436.0,3.0,3.0,2014.0,3.0,3639.0,Tier3,Villa,Unfurnished,69.7
1270.0,2.0,2.0,2004.0,3.0,2047.0,Tier1,Apartment,Furnished,113.82
1275.0,2.0,3.0,2006.0,2.0,3623.0,Metro,Apartment,Furnished,173.67
815.0,3.0,4.0,2018.0,3.0,1763.0,Tier2,Apartment,Furnished,49.44
